twitter,name
jrg_abad,"Abad, Jorge"
laleksanyan,"Aleksanyan, Lilia"
mfarooqarby,"Arby, Muhammad Farooq"
profahmhamed,"Abd Ellah, Ahmed Hamed"
maljarhi,"Al-Jarhi, Mabid Ali Mohamed Mahmoud"
evaoarceo,"Arceo-Gomez, Eva"
kim_abildgren,"Abildgren, Kim"
g_allegre,"Allègre, Guillaume"
ielde_unsa,"Arévalo, Carla"
sofianeaboura,"Aboura, Sofiane"
miguel4dc,"Almanzar, Miguel"
rodrigoarim1,"Arim, Rodrigo"
DrDaronAcemoglu,"Acemoglu, Daron"
alonsobcesar,"Alonso-Borrego, César"
bjorci,"Arnarson, Björn Thor"
guillermoacuna,"Acuña, Guillermo Ignacio"
romanianromance,"Alter, Adrian"
g_arnould,"Arnould, Guillaume"
acunaandres,"Acuña-Duarte, Andrés"
aalvarezgallo,"Álvarez, Andrés"
larroyoabad,"Arroyo Abad, Leticia"
tonysangle,"Addison, Tony"
cacrisalves,"Alves, Carolina C"
benitoarrunada,"Arruñada, Benito"
oluwatobiclay,"Adewunmi, Oluwatobiloba Daniel"
guillermo_alves,"Alves, Guillermo"
farslaner,"Arslaner, Ferhat"
aadukia,"Adukia, Anjali"
pedro_s_amaral,"Amaral, Pedro"
noorarx,"Arslaner, Nuran"
arunadvaniecon,"Advani, Arun"
lykkeeandersen,"Andersen, Lykke"
jc_artegar,"Arteaga, Julio Cesar"
amandayagan,"Agan, Amanda Yvonne"
andersen_hecon,"Andersen, Martin"
askitas,"Askitas, Nikos"
agostini_cl,"Agostini, Claudio A"
amyecon,"Ando, Amy Whritenour"
oatabati,"Atabati, Omid"
davidragrawal,"Agrawal, David"
dandolfa,"Andolfatto, David"
susan_athey,"Athey, Susan Carleton"
vaguirregabiria,"Aguirregabiria, Victor"
massimo_anelli,"Anelli, Massimo"
jattamensah,"Atta-Mensah, Joseph"
ahammeralex,"Ahammer, Alexander"
violaangelini,"Angelini, Viola"
maattar,"Attar, M. Aykut"
zouhairabh,"Ait Benhamou, Zouhair"
datanecon,"Angenendt, David Tobias"
titusawokuse,"Awokuse, Titus"
gbenga_ajilore,"Ajilore, Olugbenga"
erikangner,"Angner, Erik"
aydinonat,"Aydinonat, N. Emrah"
sainty02,"Akadiri, Seyi Saint"
metrics52,"Angrist, Joshua D"
ayllonsara,"Ayllón, Sara"
akkemik,"Akkemik, K. Ali"
juanantolindiaz,"Antolin-Diaz, Juan"
ayubch23,"Ayyoub, Muhammad "
cevatgirayaksoy,"Aksoy, Cevat Giray"
romananton_phd,"Anton, Roman"
jpazvd,"Azevedo, João Pedro"
mouawiya,"Al Awad, Mouawiya"
jcanyanwu,"Anyanwu, John"
mazzimon77,"Azzimonti, Marina"
teach_econ,"Al-Bahrani, Abdullah"
sebasaparicio15,"Aparicio, Sebastian"
paldama,"Aldama, Pierre"
araujoec,"Araujo, Edson"
bachmannrudi,"Bachmann, Ruediger"
pat_d_bennett,"Bennett, Patrick"
fabioso77,"Boncinelli, Fabio"
lancebachmeier,"Bachmeier, Lance"
benshalomy,"Ben-Shalom, Yonatan"
bonnisseaujm,"Bonnisseau, Jean-Marc"
NYUSternEcon,"Backus, David"
phbent,"Bent, Peter"
booth_alison,"Booth, Alison Lee"
stijn_baert,"Baert, Stijn"
berardi_n_,"Berardi, Nicoletta"
fabrice_bm,"Borel-Mathurin, Fabrice"
bagisb,"Bagis, Bilal"
a_bergeaud,"Bergeaud, Antonin"
amirneto,"Borges Ferreira Neto, Amir"
albertobagnai,"Bagnai, Alberto"
economendagboek,"Bergeijk, Peter A.G. van"
anne_boring,"Boring, Anne"
dany_bahar,"Bahar, Dany"
nonicoc,"Berggren, Niclas"
vkborooah,"Borooah, Vani Kant"
raulbajob,"Bajo-Buenestado, Raúl"
obergland,"Bergland, Olvar"
olivierbos,"Bos, Olivier"
baldwinre,"Baldwin, Richard"
rbergoeingv,"Bergoeing, Raphael"
523566,"Bosupeng, Mpho"
ambalisacan,"Balisacan, Arsenio"
mabe74,"Berka, Martin"
alina_botezat,"Botezat, Alina"
asmahyder,"Baloch, Asma Hyder"
benbernanke,"Bernanke, Ben"
obouba,"Bouba-Olga, Olivier"
roberto_bande,"Bande, Roberto"
giobernardo,"Bernardo, Giovanni"
pbougette,"Bougette, Patrice"
nelsonhbarbosa,"Barbosa-Filho, Nelson Henrique"
joshuaberning,"Berning, Joshua"
curlybird98,"Boumans, Dorine"
tbarnay,"Barnay, Thomas"
davidhbernstein,"Bernstein, David Harry"
bounaderlahcen,"Bounader, Lahcen"
jasonbarrru,"Barr, Jason"
atabertay,"Bertay, Ata Can"
bouoiyour_b,"Bouoiyour, Jamal"
johnbarrdear,"Barrdear, John"
aberthep7,"Berthe, Alexandre"
renaudbourles,"Bourlès, Renaud"
alanbarreca,"Barreca, Alan Irwin"
antoineberthou,"Berthou, Antoine"
leah_boustan,"Boustan, Leah Platt"
felbarrera,"Barrera-Osorio, Felipe"
jamesbessen,"Bessen, James"
johnbovay,"Bovay, John"
dougbarrios,"Barrios, Douglas"
keshabrbhattar1,"Bhattarai, Keshab R"
chadbown,"Bown, Chad"
z655321,"Bartha, Zoltán"
sbhau,"Bhaumik, Sumon"
pierrecboyer,"Boyer, Pierre"
barthelemyecon,"Barthélemy, Jean"
space_economy,"Bieri, David Stephan"
jc_bradbury,"Bradbury, John Charles"
timbartik,"Bartik, Timothy"
bignonvincent,"Bignon, Vincent"
behsnaps,"Brañas-Garza, Pablo"
f_bartolucci,"Bartolucci, Francesco"
maviwest,"Bilgili, Faik"
williamabranch,"Branch, William"
baruffinimoreno,"Baruffini, Moreno"
mbillio,"Billio, Monica"
misoc_essex,"Brewer, Mike"
kaushikcbasu,"Basu, Kaushik"
cconces,"Binder, Carola Conces"
jbriggeman,"Briggeman, Jason"
vnbateman,"Bateman, Victoria"
jebistline,"Bistline, John Erik"
